image,detected_symbols
994.png,['police']
670.jpeg,['communist symbol']
148.jpeg,['prisoner']
180.jpeg,['prisoner']
153.jpeg,['prisoner']
764.jpeg,['communist symbol']
320.png,['american flag']
858.jpeg,['army']
123.jpeg,['police']
863.jpeg,['prisoner']
906.jpeg,"['army', 'communist symbol']"
979.jpeg,['army']
416.png,['army']
479.png,['communist symbol']
307.png,['police']
476.png,['communist symbol']
139.jpeg,['police']
144.jpeg,['police']
728.jpeg,['communist symbol']
122.jpeg,['police']
1044.jpeg,['army']
733.jpeg,['american flag']
265.jpeg,['prisoner']
405.png,['police']
627.png,"['army', 'communist symbol']"
854.jpeg,['army']
628.jpeg,['communist symbol']
590.jpeg,['american flag']
165.jpeg,['prisoner']
138.jpeg,"['police', 'prisoner']"
788.png,['communist symbol']
944.png,['communist symbol']
143.jpeg,['police']
485.jpeg,['communist symbol']
732.jpeg,['american flag']
717.png,"['army', 'communist symbol']"
939.png,['army']
714.png,['american flag']
455.jpeg,['communist symbol']
159.jpeg,['prisoner']
969.jpeg,['army']
901.jpeg,['army']
818.jpeg,['american flag']
328.png,['army']
653.png,"['army', 'communist symbol']"
703.png,['communist symbol']
129.jpeg,['police']
161.jpeg,['prisoner']
971.jpeg,['army']
454.jpeg,['army']
796.jpeg,['american flag']
839.jpeg,['prisoner']
155.png,['prisoner']
871.jpeg,['communist symbol']
177.jpeg,"['police', 'prisoner']"
182.jpeg,['prisoner']
623.jpeg,['american flag']
424.jpeg,['police']
415.png,['army']
584.png,['communist symbol']
160.jpeg,['prisoner']
601.jpeg,['american flag']
475.png,['army']
513.png,['american flag']
892.jpeg,['police']
501.jpeg,['american flag']
404.png,['police']
644.jpeg,['police']
176.jpeg,['prisoner']
986.jpeg,['communist symbol']
959.jpeg,['army']
181.jpeg,['prisoner']
593.jpeg,['army']
765.jpeg,['communist symbol']
539.jpeg,['police']
840.jpeg,['army']
184.png,['prisoner']
929.jpeg,['communist symbol']
151.jpeg,['prisoner']
934.jpeg,['prisoner']
1018.jpeg,['communist symbol']
663.png,['american flag']
660.png,['communist symbol']
977.jpeg,['army']
613.jpeg,['communist symbol']
145.jpeg,"['rainbow pride flag', 'police']"
729.jpeg,['prisoner']
960.jpeg,['communist symbol']
535.jpeg,['rainbow pride flag']
266.jpeg,['prisoner']
809.png,['army']
877.jpeg,['american flag']
597.png,['communist symbol']
882.jpeg,['communist symbol']
629.jpeg,['communist symbol']
529.png,['american flag']
166.jpeg,['prisoner']
417.png,['army']
561.jpeg,['rainbow pride flag']
141.jpeg,['police']
483.jpeg,['american flag']
456.jpeg,['army']
157.jpeg,['prisoner']
499.jpeg,['american flag']
162.jpeg,['prisoner']
972.jpeg,['american flag']
746.jpeg,['american flag']
140.jpeg,['police']
183.png,['police']
605.png,['communist symbol']
530.jpeg,['american flag']
662.png,['army']
178.jpeg,['prisoner']
651.jpeg,['communist symbol']
156.jpeg,['prisoner']
772.jpeg,['communist symbol']
890_4.jpeg,['american flag']
820.jpeg,['police']
551.jpeg,['communist symbol']
936.jpeg,['army']
131.jpeg,['police']
451.jpeg,['communist symbol']
1008.jpeg,['prisoner']
615.jpeg,['police']
147.jpeg,['police']
957.jpeg,['army']
152.jpeg,['prisoner']
125.jpeg,['police']
130.jpeg,['police']
890_2.jpeg,['police']
146.jpeg,['police']
757.jpeg,['army']
805.jpeg,"['army', 'communist symbol']"
267.jpeg,"['communist symbol', 'prisoner']"
509.jpeg,['american flag']
541.jpeg,['army']
779.png,['army']
883.jpeg,['police']
1050.png,['american flag']
458.jpeg,['communist symbol']
121.jpeg,['police']
710.jpeg,['prisoner']
441.jpeg,['army']
220.jpeg,['police']
702.png,['communist symbol']
899.jpeg,['army']
164.jpeg,['prisoner']
137.jpeg,['police']
317_2.jpeg,['police']
678.jpeg,['american flag']
142.jpeg,['police']
158.jpeg,['prisoner']
317_1.jpeg,['police']
477.png,"['army', 'communist symbol']"
163.jpeg,['prisoner']
604.jpeg,['american flag']
136.jpeg,['police']
527.png,['rainbow pride flag']
548.jpeg,['prisoner']
471.png,['communist symbol']
553.jpeg,['army']
800.jpeg,['american flag']
647.jpeg,['rainbow pride flag']
179.jpeg,['prisoner']
596.jpeg,['army']
843.jpeg,['army']
1035.jpeg,['american flag']
622.jpeg,['american flag']
154.jpeg,['prisoner']
600.jpeg,['american flag']
132.jpeg,['police']
778.png,['communist symbol']
727.jpeg,['communist symbol']
474.png,['communist symbol']
466.png,['communist symbol']
453.jpeg,['communist symbol']
